village,population_2010,latitude,longitude,type,adm_center,district,region,language,dialect
Абезь,478,61.7531069,66.5203805,посёлок,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,NA
Адзьва,0,66.5544472,59.4226443,деревня,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,Iźva
Адзьвавом,98,66.5952006,59.2955697,село,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,Iźva
Айкино,3367,62.2244834,49.9924109,село,Айкино,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Аким,21,63.7428949,53.7260528,деревня,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Акись,130,65.8378286,56.7533571,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Алексеевка,103,62.3899238,52.9298347,деревня,Нившера,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Аникеевка,9,61.8980249,52.0586852,деревня,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Ануфриевка,2,61.8843703,52.0338442,деревня,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Аныб,204,61.8707241,53.0145474,село,Аныб,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Анюша,21,62.7007464,50.7445357,деревня,Шошка,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Арабач,115,62.1241198,49.8284647,деревня,Гам,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Аранец,49,64.8330274,57.8434022,деревня,Приуральское,Печора,Республика Коми,Komi-Zyrian,Pechora
Бадьёль,109,62.7684868,55.6422276,посёлок,Нижняя Омра,Троицко-Печорский район,Республика Коми,Komi-Zyrian,NA
Бадьёльск,238,62.2576547,54.0393223,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Бакур,452,65.0448327,53.854694,деревня,Сизябск,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Баяркерес,14,61.5903411,51.5734743,деревня,Позтыкерес,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Белый Бор,222,62.5588495,56.3991542,посёлок,Мылва,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Белый Ю,108,65.2758919,57.1192278,посёлок,Путеец,Печора,Республика Коми,Komi-Zyrian,Iźva
Бердыш,8,61.609628,57.9841998,деревня,Комсомольск-на-Печоре,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Березники,33,60.5061542,49.5248495,деревня,Читаево,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Берёзовка,352,65.014026,56.579664,посёлок,Чикшино,Печора,Республика Коми,Komi-Zyrian,NA
Берёзово,NA,63.9449187,65.0199375,NA,NA,Берёзовский район,Ханты-Мансийский автономный округ – Югра,Komi-Zyrian,NA
Благоево,2221,63.4211789,47.9545408,пгт,пгт Благоево,Удорский район,Республика Коми,Komi-Zyrian,Udora
Богомолово,11,62.1231648,49.7482932,деревня,Гам,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Богородск,697,62.259823,52.4863855,село,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Большая Парма,31,61.9813169,50.1558365,деревня,Слудка,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
